FDPS, 4522, 7.885510
FDX1L, 4525, 7.567258
NUDT14, 9049, 7.452345
CD6, 2115, 7.347518
GAP43, 4881, 7.297598
RAB3C, 10727, 7.281902
RTP1, 11490, 7.250434
PPEF1, 10166, 7.236704
VIT, 14590, 7.194048
FREM3, 4720, 7.174944
KCNA5, 6343, 7.135517
ACTC1, 165, 7.049140
BAG2, 1158, 6.975546
HSPB3, 5860, 6.953823
LDHA, 6837, 6.931137
MUM1L1, 8349, 6.894413
ITGB1BP1, 6225, 6.736256
ARHGDIG, 780, 6.727080
POMGNT2, 10124, 6.715041
TOMM5, 13836, 6.712597
ACTA1, 161, 6.709594
NUDT4, 9059, 6.664864
TMEM70, 13716, 6.655459
PCDH20, 9465, 6.652205
VSIG10L, 14641, 6.649321
TSPAN33, 14108, 6.597839
TPST1, 13904, 6.594669
ACOT13, 132, 6.567303
DPCD, 3573, 6.557094
SCG3, 11633, 6.547733
LYPD8, 7513, 6.539317
HTR7, 5880, 6.482039
PCBD1, 9448, 6.459236
ABHD12B, 65, 6.454750
LINC02217, 7053, 6.425101
ADTRP, 305, 6.347539
TUNAR, 14226, 6.310095
KPNA2, 6647, 6.290967
SPON2, 12665, 6.260233
ERICH1, 4066, 6.255373
PNPLA3, 10050, 6.248771
KLHDC8A, 6583, 6.243982
KCNN2, 6400, 6.237678
TUBA1B, 14195, 6.236977
TUBB4B, 14208, 6.213009
GATB, 4905, 6.199479
LINC01140, 7003, 6.143098
SH2D5, 11907, 6.140785
DUSP3, 3669, 6.110766
CA10, 1687, 6.057926
KIAA1024, 6486, 6.053153
RAB11A, 10689, 6.044284
NDUFB8, 8634, 6.033842
FAM102B, 4204, 6.030593
WFDC1, 14756, 6.028435
UQCRFS1, 14446, 6.021012
TTPAL, 14186, 6.014976
PRELID1, 10317, 5.991945
RBP4, 10940, 5.957871
RHEB, 11087, 5.947099
SPHKAP, 12641, 5.935914
SNX10, 12495, 5.924635
PCBP3, 9452, 5.921910
CCT5, 2063, 5.913457
HSD11B1L, 5823, 5.905944
TGFBI, 13354, 5.895881
FDPSP2, 4523, 5.886002
MYOM2, 8436, 5.885821
FOXF2, 4689, 5.885277
CISD3, 2494, 5.884534
ARHGAP25, 756, 5.862843
ARL3, 826, 5.861916
OVOL2, 9288, 5.850327
FADS3, 4192, 5.846596
WTIP, 14803, 5.839773
SLC26A4-AS1, 12137, 5.826036
BAIAP3, 1168, 5.824858
CYB561, 3070, 5.820590
MRPS21, 8213, 5.789284
DYNLL1, 3692, 5.788113
CBLN2, 1875, 5.779633
KIFAP3, 6546, 5.772960
HDAC9, 5516, 5.759197
C8orf46, 1664, 5.750875
CACYBP, 1739, 5.742332
HDC, 5517, 5.738042
KRT31, 6675, 5.737446
SLC22A18, 12070, 5.726561
RGS4, 11069, 5.726531
HTR7P1, 5881, 5.717296
CCDC68, 1975, 5.717106
BAIAP2L2, 1167, 5.716430
RTL8C, 11481, 5.708309
ACTR1A, 177, 5.704479
COMMD9, 2746, 5.702360
PSMB7, 10492, 5.676295
NEDD8, 8663, 5.676232
FLJ33534, 4623, 5.676059
LINC00484, 6944, 5.659291
RPH3AL, 11291, 5.646804
TMEM150C, 13576, 5.640695
VSTM2L, 14649, 5.639542
EPHA10, 4009, 5.621477
PCDH8, 9467, 5.616188
MRPS25, 8217, 5.600925
VPS35, 14618, 5.600654
SPRN, 12678, 5.595150
NT5DC3, 9014, 5.592932
DZIP3, 3707, 5.567643
IFT22, 5972, 5.565102
E2F3, 3709, 5.563994
LRRC4C, 7416, 5.554419
GPR26, 5247, 5.551512
NR4A3, 8952, 5.540568
TMEM65, 13712, 5.537759
MSMO1, 8254, 5.522206
CD63, 2116, 5.519947
GULP1, 5411, 5.515989
NECTIN3, 8660, 5.513921
GBAP1, 4911, 5.496123
BNIP3, 1326, 5.489528
ZC2HC1A, 14945, 5.487682
NOV, 8882, 5.482039
PLCH1, 9916, 5.474584
PSMC3, 10497, 5.473407
ASB6, 907, 5.467384
COX11, 2790, 5.449258
MRPL51, 8194, 5.441743
TFRC, 13349, 5.433826
ASB2, 904, 5.429342
RAB35, 10720, 5.426582
CCNYL1, 2048, 5.420026
PRRX1, 10446, 5.418953
CASQ1, 1854, 5.410431
KIF17, 6519, 5.405604
CAMK1G, 1769, 5.404640
SPRY1, 12683, 5.398627
KLF6, 6573, 5.390089
TFPT, 13347, 5.384783
NFKBIE, 8731, 5.366474
B3GALT6, 1122, 5.361767
NT5DC2, 9013, 5.355012
PIFO, 9788, 5.354818
HCN4, 5501, 5.350037
KCNMB4, 6398, 5.345909
MPPED1, 8118, 5.338769
TPI1, 13883, 5.334926
DYRK3, 3701, 5.332869
NME7, 8827, 5.321708
TAC1, 13077, 5.314438
CENPX, 2289, 5.298291
STMN2, 12890, 5.295684
DACT3, 3146, 5.293717
MYADM, 8367, 5.291751
WDR86, 14746, 5.286224
DNAJC19, 3501, 5.285527
CETN2, 2337, 5.285071
TOM1L1, 13828, 5.283831
TCERG1L, 13245, 5.274563
GAL, 4846, 5.269245
CCM2, 2019, 5.266942
LGALS1, 6863, 5.265048
FAM120AOS, 4225, 5.263001
DOK6, 3564, 5.262036
PHB, 9718, 5.252843
CTXN3, 3026, 5.251435
TUBB3, 14206, 5.240874
CCK, 2008, 5.237708
SKAP1, 12002, 5.235062
DCUN1D5, 3227, 5.229197
TEX30, 13326, 5.227832
GTDC1, 5370, 5.224060
C1S, 1531, 5.216355
ASNSP1, 932, 5.215136
PDLIM7, 9605, 5.214822
DYRK2, 3700, 5.202320
TNFRSF14, 13781, 5.202284
TUSC2, 14228, 5.201635
GNB4, 5111, 5.194417
DUSP2, 3664, 5.182196
CYP26A1, 3100, 5.160536
RASSF3, 10872, 5.150947
MIR7-3HG, 7995, 5.150079
KCNK3, 6390, 5.144021
SYNM, 13038, 5.124966
FAM47E, 4359, 5.122641
TRMT10C, 14032, 5.116662
MRPS15, 8206, 5.114114
DOK5, 3563, 5.113847
RNF175, 11209, 5.111937
PCED1B, 9499, 5.103809
MSRB2, 8259, 5.102144
EIF3J, 3851, 5.098941
PDHB, 9588, 5.096423
HRH3, 5806, 5.088180
AKAP8, 401, 5.085330
TUBB4A, 14207, 5.084384
ACOT8, 136, 5.079390
ASGR2, 918, 5.076474
CRIP2, 2883, 5.076195
FAM86FP, 4390, 5.075139
C3orf80, 1618, 5.073164
TMEM182, 13609, 5.065674
RIT2, 11145, 5.061213
NRP1, 8977, 5.061054
CTH, 2988, 5.050699
NAXE, 8530, 5.042188
PDZD11, 9621, 5.037291
NOP16, 8864, 5.034482
S100A6, 11533, 5.031530
NDUFA6, 8609, 5.030840
FAM213A, 4323, 5.028437
CCKBR, 2009, 5.024872
MRPL23, 8168, 5.024665
CTXN2, 3025, 5.024263
NKD2, 8789, 5.023345
SH3BGRL3, 11912, 5.022520
HBM, 5483, 5.019753
JPH3, 6290, 5.018209
MPI, 8106, 5.008123
SMIM10L2A, 12379, 5.002318
SNX3, 12513, 5.001644
ENOX1, 3972, 5.000821
BCL11B, 1218, 4.994102
PTP4A3, 10574, 4.970208
GPR68, 5260, 4.970135
FNDC11, 4660, 4.967172
CMTM4, 2612, 4.966073
DCAF11, 3180, 4.958377
LOC101929066, 7193, 4.953445
FSTL5, 4749, 4.950756
NUDT10, 9046, 4.944585
SPINT2, 12653, 4.944402
NME1, 8822, 4.944137
CALHM1, 1754, 4.944026
TCTA, 13268, 4.939047
MCUB, 7774, 4.931864
GPX3, 5279, 4.921478
BCKDK, 1215, 4.914289
CHCHD4, 2388, 4.914083
CHST15, 2458, 4.911321
SMIM10L2B, 12380, 4.907208
RTL8A, 11480, 4.904856
LOC100288911, 7139, 4.904760
MGAT4C, 7924, 4.901072
FKBP1B, 4603, 4.895607
FAM110C, 4214, 4.895120
RABIF, 10761, 4.893282
DLEU7, 3429, 4.892305
SELENOW, 11753, 4.889497
VCL, 14564, 4.888138
SCARA5, 11621, 4.885774
GGN, 4982, 4.883592
TIMM10, 13427, 4.881958
SC5D, 11604, 4.878182
LAMA2, 6758, 4.871717
MSANTD1, 8240, 4.868981
DPP10-AS1, 3588, 4.864699
KCNJ12, 6375, 4.856219
LAMTOR2, 6773, 4.850820
EMC7, 3928, 4.848080
RASGRP1, 10860, 4.845474
KLHL29, 6600, 4.845283
C2orf40, 1590, 4.842756
VPS37D, 14623, 4.840227
PROCA1, 10385, 4.839385
NMU, 8837, 4.835195
BCL2A1, 1220, 4.832547
HOMER1, 5765, 4.831382
TMEM141, 13566, 4.828074
ATP5PB, 1036, 4.822408
RAB3A, 10725, 4.816831
LBH, 6801, 4.806768
MORN4, 8088, 4.804737
ZNF219, 15151, 4.797870
NGB, 8743, 4.794843
RUNDC3A, 11501, 4.790412
PDK3, 9599, 4.787540
CCNDBP1, 2030, 4.778892
C17orf67, 1492, 4.777685
FAM86C1, 4386, 4.772690
LOC105379807, 7222, 4.770690
CDT1, 2242, 4.767354
LOC100128239, 7108, 4.761493
AMN1, 503, 4.757526
SPR, 12674, 4.754631
JMJD1C-AS1, 6281, 4.750968
GSTO1, 5364, 4.748406
PRR5, 10432, 4.748152
GGCT, 4979, 4.744730
TUBA4A, 14200, 4.741345
ZIC1, 15062, 4.740951
MRPL18, 8162, 4.739181
YBX2, 14852, 4.737654
HAUS7, 5474, 4.737326
FAM86EP, 4389, 4.736261
COL23A1, 2707, 4.733341
COX4I1, 2797, 4.731013
NXPH1, 9105, 4.727916
CRYBA2, 2910, 4.722582
MDGA1, 7779, 4.718711
SYNGR1, 13031, 4.717878
RPS2P32, 11394, 4.714545
OPRM1, 9174, 4.714499
NDUFAF4, 8618, 4.712655
GPX4, 5280, 4.708742
MECR, 7796, 4.707625
ITGA8, 6217, 4.706035
ECHS1, 3734, 4.702702
AMDHD1, 490, 4.701047
RBM8A, 10931, 4.699856
DSTN, 3634, 4.698029
ACAT2, 111, 4.697678
BEND5, 1254, 4.697606
SLC19A1, 12054, 4.690441
PMM1, 10014, 4.689920
PIK3CD, 9816, 4.681830
ST20, 12801, 4.680431
FZD9, 4802, 4.679572
PIN1, 9827, 4.674290
DYNLT3, 3697, 4.673240
ABCC12, 45, 4.670793
LINC00294, 6929, 4.668272
HES4, 5568, 4.666352
SHISAL1, 11950, 4.660037
MEDAG, 7828, 4.654947
STEAP1, 12860, 4.653537
NDUFAB1, 8614, 4.651324
GFOD2, 4967, 4.633153
GDF10, 4939, 4.631652
GLDC, 5042, 4.627080
TM6SF1, 13493, 4.624145
PKP3, 9879, 4.621880
FBXL15, 4455, 4.618598
NANOS3, 8499, 4.617632
SULF1, 12957, 4.615195
TUBB6, 14209, 4.612462
MSRA, 8257, 4.607412
CYB5R1, 3078, 4.604484
MYH10, 8390, 4.604053
RALBP1, 10796, 4.599041
CHST8, 2465, 4.598435
ASS1, 941, 4.597961
RASGEF1C, 10857, 4.596825
HSPB1, 5857, 4.595662
BCL7C, 1232, 4.594051
WNT10A, 14782, 4.593415
TIMM50, 13438, 4.592888
ISYNA1, 6205, 4.587754
MED31, 7822, 4.587671
SNRNP25, 12469, 4.587572
CARD16, 1814, 4.585122
C2CD4C, 1584, 4.582358
TSTA3, 14129, 4.581731
COPRS, 2757, 4.569473
DAD1, 3147, 4.567478
CLIC5, 2557, 4.556772
DDAH1, 3231, 4.556067
LRRC73, 7428, 4.551276
ARPP19, 867, 4.549159
AMIGO2, 498, 4.544878
PNOC, 10046, 4.544614
TCEA3, 13232, 4.539795
CDH13, 2171, 4.537677
GRB14, 5291, 4.533800
HGF, 5582, 4.531256
RGS19, 11064, 4.530052
CD83, 2123, 4.529678
STXBP5, 12938, 4.529186
LDHD, 6841, 4.527981
CREB3L3, 2867, 4.514977
ARHGAP45, 773, 4.512088
ARHGEF4, 799, 4.510463
CCDC110, 1903, 4.508097
VAT1, 14556, 4.507909
DNAJA1, 3476, 4.506382
COPS9, 2766, 4.500097
SNN, 12462, 4.497104
PTS, 10617, 4.491787
MAP2K4, 7618, 4.488958
SOWAHB, 12552, 4.488213
PTRH1, 10614, 4.488071
SPACA9, 12589, 4.484390
OSER1, 9260, 4.482050
SPDEF, 12622, 4.474572
ADCY7, 250, 4.472225
GALNT16, 4863, 4.471273
CIB1, 2477, 4.470103
SSC4D, 12772, 4.466343
HRAS, 5800, 4.460780
MRPL37, 8179, 4.458975
RNF128, 11186, 4.457239
SLN, 12326, 4.456661
CHMP4A, 2421, 4.456483
NDUFA12, 8602, 4.454638
BRK1, 1370, 4.454616
EIF3K, 3853, 4.448699
SFTA1P, 11873, 4.446834
DRAM1, 3612, 4.442571
MEIS3P1, 7846, 4.441935
ATP6V0E2, 1052, 4.441405
SVOP, 13001, 4.438153
KLHL25, 6597, 4.436194
