mmp_roi_id,yeo_7_nw
1,Vis
2,Vis
3,Vis
4,Vis
5,Vis
6,Vis
7,Vis
8,SomMot
9,SomMot
10,DorsAttn
11,DorsAttn
12,Default
13,Vis
14,Default
15,Default
16,Vis
17,Vis
18,Vis
19,Vis
20,Vis
21,Vis
22,Vis
23,Vis
24,SomMot
25,SalVentAttn
26,Default
27,Default
28,Default
29,Cont
30,Default
31,Default
32,Default
33,Default
34,Default
35,Default
36,SomMot
37,SalVentAttn
38,SalVentAttn
39,SomMot
40,SomMot
41,SalVentAttn
42,DorsAttn
43,SalVentAttn
44,DorsAttn
45,DorsAttn
46,DorsAttn
47,DorsAttn
48,DorsAttn
49,DorsAttn
50,DorsAttn
51,SomMot
52,SomMot
53,SomMot
54,SomMot
55,SomMot
56,DorsAttn
57,SalVentAttn
58,Cont
59,SalVentAttn
60,SalVentAttn
61,Default
62,Default
63,Cont
64,Default
65,Default
66,Default
67,Default
68,Default
69,Default
70,Default
71,Default
72,Default
73,Cont
74,SalVentAttn
75,Default
76,Default
77,Cont
78,DorsAttn
79,Cont
80,DorsAttn
81,Cont
82,Cont
83,Cont
84,Cont
85,Cont
86,SalVentAttn
87,Default
88,Limbic
89,Default
90,Limbic
91,Cont
92,Limbic
93,Limbic
94,Default
95,DorsAttn
96,DorsAttn
97,Default
98,Default
99,SomMot
100,SomMot
101,SomMot
102,SomMot
103,SomMot
104,SomMot
105,SalVentAttn
106,SalVentAttn
107,SomMot
108,SalVentAttn
109,SalVentAttn
110,None
111,SalVentAttn
112,Cont
113,SalVentAttn
114,SalVentAttn
115,SomMot
116,DorsAttn
117,DorsAttn
118,Limbic
119,Vis
120,None
121,Vis
122,Limbic
123,Default
124,SomMot
125,Default
126,Vis
127,Vis
128,Default
129,Default
130,Default
131,Limbic
132,Default
133,Cont
134,Default
135,Limbic
136,DorsAttn
137,DorsAttn
138,DorsAttn
139,Default
140,DorsAttn
141,DorsAttn
142,Vis
143,Vis
144,Cont
145,Cont
146,Vis
147,SalVentAttn
148,SalVentAttn
149,Default
150,Default
151,Default
152,Vis
153,Vis
154,Vis
155,Vis
156,Vis
157,DorsAttn
158,Vis
159,Vis
160,Vis
161,Default
162,Default
163,Vis
164,Default
165,Default
166,Limbic
167,SalVentAttn
168,SomMot
169,SalVentAttn
170,Default
171,Cont
172,Limbic
173,SomMot
174,SomMot
175,SomMot
176,Default
177,Default
178,SalVentAttn
179,Default
180,Default
181,Vis
182,Vis
183,Vis
184,Vis
185,Vis
186,Vis
187,Vis
188,SomMot
189,SomMot
190,DorsAttn
191,SalVentAttn
192,SalVentAttn
193,Vis
194,Default
195,Cont
196,Vis
197,DorsAttn
198,Vis
199,Vis
200,Vis
201,Vis
202,Vis
203,Vis
204,SomMot
205,SalVentAttn
206,Default
207,Default
208,SomMot
209,DorsAttn
210,Default
211,Default
212,Default
213,Default
214,Default
215,Default
216,SomMot
217,SalVentAttn
218,SalVentAttn
219,SomMot
220,SomMot
221,SomMot
222,DorsAttn
223,SalVentAttn
224,SalVentAttn
225,DorsAttn
226,DorsAttn
227,DorsAttn
228,DorsAttn
229,DorsAttn
230,DorsAttn
231,SomMot
232,SomMot
233,SomMot
234,SomMot
235,SomMot
236,SomMot
237,SalVentAttn
238,Cont
239,SalVentAttn
240,SalVentAttn
241,Default
242,Cont
243,Cont
244,Default
245,Default
246,Default
247,Cont
248,Default
249,Default
250,Default
251,Default
252,Default
253,Cont
254,SalVentAttn
255,Default
256,Default
257,Cont
258,DorsAttn
259,Cont
260,DorsAttn
261,Cont
262,Cont
263,Cont
264,Cont
265,Cont
266,SalVentAttn
267,Default
268,Limbic
269,Cont
270,Limbic
271,Cont
272,Limbic
273,Limbic
274,Default
275,DorsAttn
276,DorsAttn
277,Cont
278,Default
279,SomMot
280,SomMot
281,SomMot
282,SomMot
283,SomMot
284,SomMot
285,SalVentAttn
286,SalVentAttn
287,SomMot
288,SalVentAttn
289,SalVentAttn
290,None
291,Cont
292,Cont
293,SalVentAttn
294,SalVentAttn
295,SomMot
296,DorsAttn
297,DorsAttn
298,Limbic
299,Vis
300,None
301,Vis
302,Limbic
303,Default
304,SomMot
305,SomMot
306,Vis
307,Vis
308,Default
309,Default
310,Default
311,Limbic
312,Default
313,Cont
314,Limbic
315,Limbic
316,DorsAttn
317,Cont
318,DorsAttn
319,SalVentAttn
320,DorsAttn
321,Default
322,Vis
323,DorsAttn
324,Cont
325,Cont
326,DorsAttn
327,SomMot
328,SalVentAttn
329,Cont
330,Default
331,Default
332,Vis
333,Vis
334,Vis
335,Vis
336,Vis
337,Vis
338,Vis
339,Vis
340,Vis
341,Default
342,Default
343,Vis
344,Default
345,Default
346,Limbic
347,SalVentAttn
348,SomMot
349,SalVentAttn
350,Cont
351,Cont
352,Limbic
353,SomMot
354,SomMot
355,SomMot
356,Default
357,Default
358,SalVentAttn
359,Cont
360,Default
